ID,Incident_Num,Incident_Type,Occured_date_time,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender
18412-2238-14470,18412,Level 1 - Use of Force,2017-11-28T01:40:00,,-,,2238,14470,Black or African American,Female
16162-1589-12833,16162,Level 1 - Use of Force,2017-06-22T04:15:00,,-,,1589,12833,Black or African American,Male
15041-2017-12130,15041,Level 1 - Use of Force,2017-03-30T15:59:00,,-,,2017,12130,White,Male
29139-4759-15571,29139,Level 1 - Use of Force,2018-02-15T13:06:00,,-,,4759,15571,Black or African American,Male
30425-4745-16299,30425,Level 1 - Use of Force,2018-07-17T21:00:00,,-,,4745,16299,White,Female
30638-2146-17272,30638,Level 1 - Use of Force,2018-07-21T18:58:00,,-,,2146,17272,White,Male
18081-1852-14330,18081,Level 1 - Use of Force,2017-11-14T12:56:00,,-,,1852,14330,,Female
15097-704-12153,15097,Level 1 - Use of Force,2017-04-03T10:30:00,,-,,704,12153,Black or African American,Female
14270-1578-11649,14270,Level 1 - Use of Force,2017-01-26T16:30:00,,-,,1578,11649,White,Male
15097-704-11880,15097,Level 1 - Use of Force,2017-04-03T10:30:00,,-,,704,11880,Black or African American,Male
29411-1655-16747,29411,Level 1 - Use of Force,2018-06-30T23:50:00,,-,,1655,16747,,Male
18042-2300-14305,18042,Level 1 - Use of Force,2017-11-02T00:10:00,,-,,2300,14305,White,Male
17935-1777-14196,17935,Level 1 - Use of Force,2017-10-25T09:23:00,,-,,1777,14196,,Male
16850-2237-7511,16850,Level 1 - Use of Force,2017-08-11T12:53:00,,-,,2237,7511,White,Male
29451-1602-17057,29451,Level 1 - Use of Force,2018-06-30T00:46:00,,-,,1602,17057,Black or African American,Male
18637-1239-14781,18637,Level 1 - Use of Force,2017-12-08T00:24:00,,-,,1239,14781,Black or African American,Male
14542-2216-4350,14542,Level 1 - Use of Force,2017-02-21T16:42:00,,-,,2216,4350,White,Male
11865-1741-4871,11865,Level 1 - Use of Force,2016-07-19T06:40:00,E,E,E1,1741,4871,Black or African American,Male
11898-1840-9082,11898,Level 1 - Use of Force,2016-07-21T16:12:00,E,C,C2,1840,9082,White,Female
10924-907-8357,10924,Level 2 - Use of Force,2016-05-01T18:00:00,W,K,K1,907,8357,,
10710-1065-2989,10710,Level 2 - Use of Force,2016-05-01T19:30:00,W,K,K1,1065,2989,White,Male
10702-615-8205,10702,Level 2 - Use of Force,2016-05-01T18:15:00,W,M,M2,615,8205,,
10701-709-8200,10701,Level 2 - Use of Force,2016-05-01T19:27:00,W,K,K1,709,8200,White,Male
10699-908-3576,10699,Level 2 - Use of Force,2016-05-01T19:30:00,W,K,K2,908,3576,,Male
10685-685-8196,10685,Level 2 - Use of Force,2016-05-01T19:00:00,W,K,K2,685,8196,,
10684-897-121,10684,Level 2 - Use of Force,2016-05-01T19:30:00,W,K,K2,897,121,,
11237-1095-2275,11237,Level 2 - Use of Force,2016-05-01T19:00:00,W,M,M1,1095,2275,,
10751-1658-2463,10751,Level 2 - Use of Force,2016-05-01T19:41:00,W,K,K2,1658,2463,,
10726-1164-3576,10726,Level 2 - Use of Force,2016-05-01T19:00:00,W,K,K1,1164,3576,,Male
10725-1239-3576,10725,Level 2 - Use of Force,2016-05-01T19:28:00,W,K,K1,1239,3576,,Male
10709-1594-3576,10709,Level 2 - Use of Force,2016-05-01T19:30:00,W,K,K1,1594,3576,,Male
10708-1180-3576,10708,Level 2 - Use of Force,2016-05-01T19:10:00,W,K,K1,1180,3576,,Male
10708-1180-5602,10708,Level 2 - Use of Force,2016-05-01T19:10:00,W,K,K1,1180,5602,White,Male
10706-1703-2989,10706,Level 2 - Use of Force,2016-05-01T19:50:00,W,K,K2,1703,2989,White,Male
10706-1703-8202,10706,Level 2 - Use of Force,2016-05-01T19:50:00,W,K,K2,1703,8202,,Female
10706-1703-8203,10706,Level 2 - Use of Force,2016-05-01T19:50:00,W,K,K2,1703,8203,,Male
10705-1640-8422,10705,Level 2 - Use of Force,2016-05-01T19:30:00,W,K,K1,1640,8422,,
10700-967-2818,10700,Level 2 - Use of Force,2016-05-01T18:15:00,W,M,M2,967,2818,White,Male
10698-1711-735,10698,Level 2 - Use of Force,2016-05-01T19:30:00,W,K,K2,1711,735,Black or African American,Male
10697-1690-8369,10697,Level 2 - Use of Force,2016-05-01T19:44:00,W,K,K2,1690,8369,,
10695-1120-8199,10695,Level 2 - Use of Force,2016-05-01T19:35:00,W,K,K1,1120,8199,,Male
10694-806-121,10694,Level 2 - Use of Force,2016-05-01T18:42:00,W,M,M2,806,121,,
10693-825-121,10693,Level 2 - Use of Force,2016-05-01T19:30:00,W,K,K1,825,121,,
10692-704-121,10692,Level 2 - Use of Force,2016-05-01T19:30:00,W,K,K2,704,121,,
10686-932-1604,10686,Level 2 - Use of Force,2016-05-01T19:00:00,W,M,M3,932,1604,,
10686-932-6012,10686,Level 2 - Use of Force,2016-05-01T19:00:00,W,M,M3,932,6012,White,Male
1458-1634-1387,1458,Level 1 - Use of Force,2014-09-25T16:15:00,W,K,K1,1634,1387,Black or African American,Male
1138-1773-1145,1138,Level 1 - Use of Force,2014-09-08T18:33:00,S,S,S3,1773,1145,Black or African American,Male
22422-1747-8837,22422,Level 1 - Use of Force,2018-03-18T00:07:00,,-,,1747,8837,,Male
14647-2182-11911,14647,Level 1 - Use of Force,2017-02-28T19:07:00,W,Q,Q2,2182,11911,White,Female
14663-1746-11920,14663,Level 1 - Use of Force,2017-03-01T17:33:00,S,O,O3,1746,11920,White,Male
14760-1775-12017,14760,Level 1 - Use of Force,2017-03-09T21:45:00,W,K,K2,1775,12017,Black or African American,Female
14783-2164-8339,14783,Level 1 - Use of Force,2017-03-11T21:26:00,N,B,B1,2164,8339,,Male
14785-1583-8339,14785,Level 1 - Use of Force,2017-03-11T21:30:00,N,B,B1,1583,8339,,Male
14830-2165-12016,14830,Level 1 - Use of Force,2017-03-14T14:00:00,N,N,N3,2165,12016,White,Male
14781-1899-11993,14781,Level 1 - Use of Force,2017-03-11T03:07:00,W,D,D1,1899,11993,White,Female
14624-2235-11889,14624,Level 1 - Use of Force,2017-02-26T20:02:00,W,K,K2,2235,11889,Black or African American,Male
14832-1793-12015,14832,Level 1 - Use of Force,2017-03-14T14:30:00,E,C,C3,1793,12015,,Female
14831-2097-12015,14831,Level 1 - Use of Force,2017-03-14T15:47:00,E,C,C3,2097,12015,,Female
14805-2150-11997,14805,Level 1 - Use of Force,2017-03-12T15:02:00,W,Q,Q3,2150,11997,White,Male
14910-2240-12056,14910,Level 1 - Use of Force,2017-03-20T14:47:00,S,S,S3,2240,12056,,Male
14778-1552-11991,14778,Level 1 - Use of Force,2017-03-10T21:08:00,E,G,G3,1552,11991,Black or African American,Male
14701-1698-11945,14701,Level 1 - Use of Force,2017-03-04T10:24:00,S,R,R1,1698,11945,White,Male
14699-2174-11942,14699,Level 2 - Use of Force,2017-03-04T10:24:00,S,R,R1,2174,11942,,Male
14699-2174-11946,14699,Level 2 - Use of Force,2017-03-04T10:24:00,S,R,R1,2174,11946,Asian,Female
14875-1262-12031,14875,Level 1 - Use of Force,2017-03-17T02:38:00,S,R,R1,1262,12031,American Indian/Alaska Native,Male
14780-2162-11992,14780,Level 2 - Use of Force,2017-03-10T23:10:00,N,B,B3,2162,11992,,Male
14644-1616-11914,14644,Level 2 - Use of Force,2017-02-28T16:39:00,N,U,U3,1616,11914,Asian,Male
14645-2095-11914,14645,Level 2 - Use of Force,2017-02-28T17:35:00,N,U,U3,2095,11914,Asian,Male
14656-2134-11914,14656,Level 2 - Use of Force,2017-02-28T17:35:00,N,U,U3,2134,11914,Asian,Male
14955-1171-12093,14955,Level 1 - Use of Force,2017-03-23T21:00:00,S,R,R1,1171,12093,,Female
27103-2154-6532,27103,Level 1 - Use of Force,2018-05-25T16:45:00,,-,,2154,6532,Black or African American,Male
27104-1884-6532,27104,Level 1 - Use of Force,2018-05-25T16:45:00,,-,,1884,6532,Black or African American,Male
27107-1840-6532,27107,Level 1 - Use of Force,2018-05-25T16:45:00,,-,,1840,6532,Black or African American,Male
27512-2457-14186,27512,Level 1 - Use of Force,2018-06-01T23:22:00,,-,,2457,14186,,Male
26666-2186-16586,26666,Level 1 - Use of Force,2018-05-19T02:30:00,,-,,2186,16586,White,Male
26701-1599-16586,26701,Level 1 - Use of Force,2018-05-19T02:20:00,,-,,1599,16586,White,Male
26221-2232-16517,26221,Level 1 - Use of Force,2018-05-13T00:56:00,,-,,2232,16517,White,Female
26689-1559-16587,26689,Level 1 - Use of Force,2018-05-19T15:50:00,,-,,1559,16587,White,Female
26702-1865-16597,26702,Level 1 - Use of Force,2018-05-19T20:23:00,,-,,1865,16597,White,Female
26711-2783-16598,26711,Level 1 - Use of Force,2018-05-19T23:31:00,,-,,2783,16598,White,Female
26824-1889-2775,26824,Level 1 - Use of Force,2018-05-21T21:10:00,,-,,1889,2775,White,Female
26828-2186-16624,26828,Level 1 - Use of Force,2018-05-22T00:52:00,,-,,2186,16624,Black or African American,Male
26839-1602-16628,26839,Level 1 - Use of Force,2018-05-22T01:15:00,,-,,1602,16628,Asian,Female
26851-2417-16628,26851,Level 1 - Use of Force,2018-05-22T01:15:00,,-,,2417,16628,Asian,Female
26896-4733-16633,26896,Level 1 - Use of Force,2018-05-22T22:00:00,,-,,4733,16633,,Male
27051-2199-16660,27051,Level 1 - Use of Force,2018-05-24T19:00:00,,-,,2199,16660,Black or African American,Male
27105-1658-16672,27105,Level 1 - Use of Force,2018-05-25T17:57:00,,-,,1658,16672,Black or African American,Male
27105-1658-16673,27105,Level 1 - Use of Force,2018-05-25T17:57:00,,-,,1658,16673,Black or African American,Male
25691-1668-5010,25691,Level 1 - Use of Force,2018-05-05T08:55:00,,-,,1668,5010,Black or African American,Male
